Japanese,Engl,EnglAnt,Dutch,DutchAnt
kado,excessive,reasonable,buitensporig,redelijk
kabi,gaudy,plain,opzichtig,ingetogen
kiza,smug,modest,arrogant,nederig
baka,stupid,smart,dom,slim
yabo,tasteless,tasteful,smakeloos,smakelijk
fubi,deficient,sufficient,gebrekkig,voldoende
yawa,fragile,solid,breekbaar,sterk
muku,pure,corrupted,zuiver,bevlekt
mucha,rash,careful,impulsief,bedachtzaam
hima,free,busy,vrij,bezig
jimi,subdued,gaudy,ingetogen,uitgesproken
dame,useless,useful,nutteloos,nuttig
zatsu,sloppy,neat,slordig,netjes
zoku,vulgar,tasteful,grof,beleefd
mare,rare,common,zeldzaam,veelvoorkomend
koku,harsh,gentle,ruw,zacht
raku,comfortable,uncomfortable,comfortabel,oncomfortable
furi,disadvantaged,advantaged,kansarm,bevoordeld
muri,impossible,possible,onmogelijk,mogelijk
toku,beneficial,harmful,gunstig,ongunstig
