Japanese,Engl,EnglAnt,Dutch,DutchAnt
kachin,offended,pleased,beledigd,tevreden
gaku,dejected,ecstatic,neerslachtig,opgewekt
poka,gaping,narrow,gapend (gat),nauw (gaatje)
gashi,sturdy,frail,stevig,fragiel
pata,sudden,gradual,plotseling,geleidelijk
pisha,decisive,hesitant,voortvarend,weifelend
musu,sullen,joyful,nors,blij
gara,to change ocmpletely,to remain teh same,volledig veranderen,hetzelfde blijven
goso,whole,partial,geheel,gedeeltelijk
kero,nonchalantly,carefully,nonchalant,voorzichtig
kakkiri,exact,approximate,precies,ongeveer
kukkiri,clear,blurry,helder,vaag
gussuri,fast asleep,wide awake,in diepe slaap, helemaal wakker
shinnari,supple,stiff,soepel,onhandig
jikkuri,careful,careless,door en door,zorgeloos
nopperi,smooth,uneven,glad;vlak,ongelijk
bassari,resolute,indecisive,resoluut,besluiteloos
batchiri,perfect,flawed,volmaakt,gebrekkig
bisshiri,crowded,empty,opeengepakt,losjes
potchari,plump,slim,mollig,slank
