"Id"	"Word"	"TrueMeaning"	"WordType"	"TrialNum"
"131-8"	"mukumuku"	"pure"	"RNAdj"	1
"131-8"	"debu"	"fat"	"SRI"	2
"131-8"	"jikkurijikkuri"	"careful"	"RNRI"	3
"131-8"	"bera"	"chatty"	"SRI"	4
"131-8"	"pata"	"sudden"	"NRI"	5
"131-8"	"zatsu"	"sloppy"	"NAdj"	6
"131-8"	"tsuyatsuya"	"glossy"	"RI"	7
"131-8"	"gaya"	"noisy"	"SRI"	8
"131-8"	"gussuri"	"fast asleep"	"NRI"	9
"131-8"	"baka"	"stupid"	"NAdj"	10
"131-8"	"bisshiribisshiri"	"crowded"	"RNRI"	11
"131-8"	"kadokado"	"excessive"	"RNAdj"	12
"131-8"	"mushimushi"	"humid"	"RI"	13
"131-8"	"musu"	"sullen"	"NRI"	14
"131-8"	"hara"	"suspenseful"	"SRI"	15
"131-8"	"kukkiri"	"clear"	"NRI"	16
"131-8"	"boroboro"	"worn out"	"RI"	17
"131-8"	"potcharipotchari"	"plump"	"RNRI"	18
"131-8"	"bukubuku"	"chubby"	"RI"	19
"131-8"	"damedame"	"useless"	"RNAdj"	20
"131-8"	"koku"	"harsh"	"NAdj"	21
"131-8"	"maremare"	"rare"	"RNAdj"	22
"131-8"	"toku"	"beneficial"	"NAdj"	23
"131-8"	"kerokero"	"nonchalantly"	"RNRI"	24
"131-8"	"bisshiribisshiri"	"crowded"	"RNRI"	25
"131-8"	"toku"	"beneficial"	"NAdj"	26
"131-8"	"baka"	"stupid"	"NAdj"	27
"131-8"	"hara"	"suspenseful"	"SRI"	28
"131-8"	"zatsu"	"sloppy"	"NAdj"	29
"131-8"	"kadokado"	"excessive"	"RNAdj"	30
"131-8"	"gussuri"	"fast asleep"	"NRI"	31
"131-8"	"gaya"	"noisy"	"SRI"	32
"131-8"	"bukubuku"	"chubby"	"RI"	33
"131-8"	"potcharipotchari"	"plump"	"RNRI"	34
"131-8"	"boroboro"	"worn out"	"RI"	35
"131-8"	"mushimushi"	"humid"	"RI"	36
"131-8"	"bera"	"chatty"	"SRI"	37
"131-8"	"musu"	"sullen"	"NRI"	38
"131-8"	"koku"	"harsh"	"NAdj"	39
"131-8"	"tsuyatsuya"	"glossy"	"RI"	40
"131-8"	"damedame"	"useless"	"RNAdj"	41
"131-8"	"mukumuku"	"pure"	"RNAdj"	42
"131-8"	"kerokero"	"nonchalantly"	"RNRI"	43
"131-8"	"maremare"	"rare"	"RNAdj"	44
"131-8"	"pata"	"sudden"	"NRI"	45
"131-8"	"jikkurijikkuri"	"careful"	"RNRI"	46
"131-8"	"kukkiri"	"clear"	"NRI"	47
"131-8"	"debu"	"fat"	"SRI"	48
