"Id"	"Word"	"TrueMeaning"	"WordType"
"7-15"	"hima"	"free"	"NAdj"
"7-15"	"bakabaka"	"stupid"	"RNAdj"
"7-15"	"dame"	"useless"	"NAdj"
"7-15"	"muku"	"pure"	"NAdj"
"7-15"	"bukubuku"	"chubby"	"RI"
"7-15"	"moji"	"hesitant"	"SRI"
"7-15"	"musumusu"	"sullen"	"RNRI"
"7-15"	"gussurigussuri"	"fast asleep"	"RNRI"
"7-15"	"kachin"	"offended"	"NRI"
"7-15"	"yawayawa"	"fragile"	"RNAdj"
"7-15"	"garagara"	"to change ocmpletely"	"RNRI"
"7-15"	"harahara"	"suspenseful"	"RI"
"7-15"	"muchamucha"	"rash"	"RNAdj"
"7-15"	"boro"	"worn out"	"SRI"
"7-15"	"hikuhiku"	"agitated"	"RI"
"7-15"	"buru"	"shivering"	"SRI"
"7-15"	"bassari"	"resolute"	"NRI"
"7-15"	"gocha"	"messy"	"SRI"
"7-15"	"debudebu"	"fat"	"RI"
"7-15"	"pata"	"sudden"	"NRI"
"7-15"	"hiso"	"whispering"	"SRI"
"7-15"	"kadokado"	"excessive"	"RNAdj"
"7-15"	"nopperinopperi"	"smooth"	"RNRI"
"7-15"	"pisha"	"decisive"	"NRI"
"7-15"	"bisshiribisshiri"	"crowded"	"RNRI"
"7-15"	"gakugaku"	"dejected"	"RNRI"
"7-15"	"kiza"	"smug"	"NAdj"
"7-15"	"yabo"	"tasteless"	"NAdj"
"7-15"	"toku"	"beneficial"	"NAdj"
"7-15"	"kibikibi"	"energetic"	"RI"
"7-15"	"goso"	"whole"	"NRI"
"7-15"	"fubifubi"	"deficient"	"RNAdj"
"7-15"	"sekaseka"	"hasty"	"RI"
"7-15"	"zokuzoku"	"vulgar"	"RNAdj"
"7-15"	"tsuya"	"glossy"	"SRI"
"7-15"	"poka"	"gaping"	"NRI"
"7-15"	"gussurigussuri"	"fast asleep"	"RNRI"
"7-15"	"debudebu"	"fat"	"RI"
"7-15"	"pisha"	"decisive"	"NRI"
"7-15"	"sekaseka"	"hasty"	"RI"
"7-15"	"zokuzoku"	"vulgar"	"RNAdj"
"7-15"	"toku"	"beneficial"	"NAdj"
"7-15"	"bukubuku"	"chubby"	"RI"
"7-15"	"hikuhiku"	"agitated"	"RI"
"7-15"	"kibikibi"	"energetic"	"RI"
"7-15"	"poka"	"gaping"	"NRI"
"7-15"	"musumusu"	"sullen"	"RNRI"
"7-15"	"dame"	"useless"	"NAdj"
"7-15"	"yabo"	"tasteless"	"NAdj"
"7-15"	"tsuya"	"glossy"	"SRI"
"7-15"	"fubifubi"	"deficient"	"RNAdj"
"7-15"	"nopperinopperi"	"smooth"	"RNRI"
"7-15"	"bakabaka"	"stupid"	"RNAdj"
"7-15"	"harahara"	"suspenseful"	"RI"
"7-15"	"yawayawa"	"fragile"	"RNAdj"
"7-15"	"hiso"	"whispering"	"SRI"
"7-15"	"bisshiribisshiri"	"crowded"	"RNRI"
"7-15"	"kadokado"	"excessive"	"RNAdj"
"7-15"	"bassari"	"resolute"	"NRI"
"7-15"	"pata"	"sudden"	"NRI"
"7-15"	"garagara"	"to change ocmpletely"	"RNRI"
"7-15"	"goso"	"whole"	"NRI"
"7-15"	"kiza"	"smug"	"NAdj"
"7-15"	"boro"	"worn out"	"SRI"
"7-15"	"muchamucha"	"rash"	"RNAdj"
"7-15"	"buru"	"shivering"	"SRI"
"7-15"	"muku"	"pure"	"NAdj"
"7-15"	"hima"	"free"	"NAdj"
"7-15"	"moji"	"hesitant"	"SRI"
"7-15"	"gakugaku"	"dejected"	"RNRI"
"7-15"	"gocha"	"messy"	"SRI"
"7-15"	"kachin"	"offended"	"NRI"
