"Id"	"Word"	"TrueMeaning"	"WordType"	"TrialNum"
"3815-5"	"hara"	"suspenseful"	"SRI"	1
"3815-5"	"buku"	"chubby"	"SRI"	2
"3815-5"	"pisha"	"decisive"	"NRI"	3
"3815-5"	"tsuyatsuya"	"glossy"	"RI"	4
"3815-5"	"poka"	"gaping"	"NRI"	5
"3815-5"	"mare"	"rare"	"NAdj"	6
"3815-5"	"uki"	"happy"	"SRI"	7
"3815-5"	"gowagowa"	"stiff"	"RI"	8
"3815-5"	"raku"	"comfortable"	"NAdj"	9
"3815-5"	"debudebu"	"fat"	"RI"	10
"3815-5"	"mukumuku"	"pure"	"RNAdj"	11
"3815-5"	"nopperi"	"smooth"	"NRI"	12
"3815-5"	"baka"	"stupid"	"NAdj"	13
"3815-5"	"bisshiribisshiri"	"crowded"	"RNRI"	14
"3815-5"	"shinnarishinnari"	"supple"	"RNRI"	15
"3815-5"	"hisohiso"	"whispering"	"RI"	16
"3815-5"	"potcharipotchari"	"plump"	"RNRI"	17
"3815-5"	"muchamucha"	"rash"	"RNAdj"	18
"3815-5"	"kabikabi"	"gaudy"	"RNAdj"	19
"3815-5"	"jikkuri"	"careful"	"NRI"	20
"3815-5"	"gakugaku"	"dejected"	"RNRI"	21
"3815-5"	"kibi"	"energetic"	"SRI"	22
"3815-5"	"hima"	"free"	"NAdj"	23
"3815-5"	"furifuri"	"disadvantaged"	"RNAdj"	24
"3815-5"	"hima"	"free"	"NAdj"	25
"3815-5"	"jikkuri"	"careful"	"NRI"	26
"3815-5"	"bisshiribisshiri"	"crowded"	"RNRI"	27
"3815-5"	"debudebu"	"fat"	"RI"	28
"3815-5"	"mare"	"rare"	"NAdj"	29
"3815-5"	"kabikabi"	"gaudy"	"RNAdj"	30
"3815-5"	"baka"	"stupid"	"NAdj"	31
"3815-5"	"nopperi"	"smooth"	"NRI"	32
"3815-5"	"kibi"	"energetic"	"SRI"	33
"3815-5"	"poka"	"gaping"	"NRI"	34
"3815-5"	"hara"	"suspenseful"	"SRI"	35
"3815-5"	"muchamucha"	"rash"	"RNAdj"	36
"3815-5"	"pisha"	"decisive"	"NRI"	37
"3815-5"	"potcharipotchari"	"plump"	"RNRI"	38
"3815-5"	"shinnarishinnari"	"supple"	"RNRI"	39
"3815-5"	"buku"	"chubby"	"SRI"	40
"3815-5"	"gowagowa"	"stiff"	"RI"	41
"3815-5"	"hisohiso"	"whispering"	"RI"	42
"3815-5"	"tsuyatsuya"	"glossy"	"RI"	43
"3815-5"	"uki"	"happy"	"SRI"	44
"3815-5"	"gakugaku"	"dejected"	"RNRI"	45
"3815-5"	"mukumuku"	"pure"	"RNAdj"	46
"3815-5"	"furifuri"	"disadvantaged"	"RNAdj"	47
"3815-5"	"raku"	"comfortable"	"NAdj"	48
