"Id"	"Word"	"TrueMeaning"	"WordType"	"TrialNum"
"2554-1"	"jimijimi"	"subdued"	"RNAdj"	1
"2554-1"	"gara"	"to change ocmpletely"	"NRI"	2
"2554-1"	"furi"	"disadvantaged"	"NAdj"	3
"2554-1"	"boro"	"worn out"	"SRI"	4
"2554-1"	"gashigashi"	"sturdy"	"RNRI"	5
"2554-1"	"kachinkachin"	"offended"	"RNRI"	6
"2554-1"	"ukiuki"	"happy"	"RI"	7
"2554-1"	"gakugaku"	"dejected"	"RNRI"	8
"2554-1"	"zuke"	"rude"	"SRI"	9
"2554-1"	"potchari"	"plump"	"NRI"	10
"2554-1"	"bisshiri"	"crowded"	"NRI"	11
"2554-1"	"kadokado"	"excessive"	"RNAdj"	12
"2554-1"	"gayagaya"	"noisy"	"RI"	13
"2554-1"	"kiza"	"smug"	"NAdj"	14
"2554-1"	"maremare"	"rare"	"RNAdj"	15
"2554-1"	"fubifubi"	"deficient"	"RNAdj"	16
"2554-1"	"hokahoka"	"steaming"	"RI"	17
"2554-1"	"muri"	"impossible"	"NAdj"	18
"2554-1"	"pisha"	"decisive"	"NRI"	19
"2554-1"	"yura"	"wobbly"	"SRI"	20
"2554-1"	"hikuhiku"	"agitated"	"RI"	21
"2554-1"	"yabo"	"tasteless"	"NAdj"	22
"2554-1"	"hiso"	"whispering"	"SRI"	23
"2554-1"	"kakkirikakkiri"	"exact"	"RNRI"	24
"2554-1"	"ukiuki"	"happy"	"RI"	25
"2554-1"	"gashigashi"	"sturdy"	"RNRI"	26
"2554-1"	"kadokado"	"excessive"	"RNAdj"	27
"2554-1"	"yabo"	"tasteless"	"NAdj"	28
"2554-1"	"gara"	"to change ocmpletely"	"NRI"	29
"2554-1"	"gayagaya"	"noisy"	"RI"	30
"2554-1"	"kakkirikakkiri"	"exact"	"RNRI"	31
"2554-1"	"hokahoka"	"steaming"	"RI"	32
"2554-1"	"kiza"	"smug"	"NAdj"	33
"2554-1"	"boro"	"worn out"	"SRI"	34
"2554-1"	"furi"	"disadvantaged"	"NAdj"	35
"2554-1"	"zuke"	"rude"	"SRI"	36
"2554-1"	"muri"	"impossible"	"NAdj"	37
"2554-1"	"maremare"	"rare"	"RNAdj"	38
"2554-1"	"bisshiri"	"crowded"	"NRI"	39
"2554-1"	"gakugaku"	"dejected"	"RNRI"	40
"2554-1"	"potchari"	"plump"	"NRI"	41
"2554-1"	"jimijimi"	"subdued"	"RNAdj"	42
"2554-1"	"hiso"	"whispering"	"SRI"	43
"2554-1"	"fubifubi"	"deficient"	"RNAdj"	44
"2554-1"	"pisha"	"decisive"	"NRI"	45
"2554-1"	"yura"	"wobbly"	"SRI"	46
"2554-1"	"kachinkachin"	"offended"	"RNRI"	47
"2554-1"	"hikuhiku"	"agitated"	"RI"	48
