"Id"	"Word"	"TrueMeaning"	"WordType"	"TrialNum"
"3372-6"	"mucha"	"rash"	"NAdj"	1
"3372-6"	"debudebu"	"fat"	"RI"	2
"3372-6"	"zokuzoku"	"vulgar"	"RNAdj"	3
"3372-6"	"gayagaya"	"noisy"	"RI"	4
"3372-6"	"kizakiza"	"smug"	"RNAdj"	5
"3372-6"	"kukkirikukkiri"	"clear"	"RNRI"	6
"3372-6"	"nopperi"	"smooth"	"NRI"	7
"3372-6"	"moji"	"hesitant"	"SRI"	8
"3372-6"	"gara"	"to change ocmpletely"	"NRI"	9
"3372-6"	"furi"	"disadvantaged"	"NAdj"	10
"3372-6"	"musumusu"	"sullen"	"RNRI"	11
"3372-6"	"yurayura"	"wobbly"	"RI"	12
"3372-6"	"kakkirikakkiri"	"exact"	"RNRI"	13
"3372-6"	"hoka"	"steaming"	"SRI"	14
"3372-6"	"jimi"	"subdued"	"NAdj"	15
"3372-6"	"jikkuri"	"careful"	"NRI"	16
"3372-6"	"tokutoku"	"beneficial"	"RNAdj"	17
"3372-6"	"gowagowa"	"stiff"	"RI"	18
"3372-6"	"potcharipotchari"	"plump"	"RNRI"	19
"3372-6"	"kibi"	"energetic"	"SRI"	20
"3372-6"	"buru"	"shivering"	"SRI"	21
"3372-6"	"shinnari"	"supple"	"NRI"	22
"3372-6"	"fubi"	"deficient"	"NAdj"	23
"3372-6"	"himahima"	"free"	"RNAdj"	24
"3372-6"	"hoka"	"steaming"	"SRI"	25
"3372-6"	"kukkirikukkiri"	"clear"	"RNRI"	26
"3372-6"	"nopperi"	"smooth"	"NRI"	27
"3372-6"	"moji"	"hesitant"	"SRI"	28
"3372-6"	"kakkirikakkiri"	"exact"	"RNRI"	29
"3372-6"	"musumusu"	"sullen"	"RNRI"	30
"3372-6"	"debudebu"	"fat"	"RI"	31
"3372-6"	"potcharipotchari"	"plump"	"RNRI"	32
"3372-6"	"shinnari"	"supple"	"NRI"	33
"3372-6"	"yurayura"	"wobbly"	"RI"	34
"3372-6"	"zokuzoku"	"vulgar"	"RNAdj"	35
"3372-6"	"jikkuri"	"careful"	"NRI"	36
"3372-6"	"furi"	"disadvantaged"	"NAdj"	37
"3372-6"	"kibi"	"energetic"	"SRI"	38
"3372-6"	"gowagowa"	"stiff"	"RI"	39
"3372-6"	"kizakiza"	"smug"	"RNAdj"	40
"3372-6"	"mucha"	"rash"	"NAdj"	41
"3372-6"	"gayagaya"	"noisy"	"RI"	42
"3372-6"	"fubi"	"deficient"	"NAdj"	43
"3372-6"	"gara"	"to change ocmpletely"	"NRI"	44
"3372-6"	"buru"	"shivering"	"SRI"	45
"3372-6"	"himahima"	"free"	"RNAdj"	46
"3372-6"	"tokutoku"	"beneficial"	"RNAdj"	47
"3372-6"	"jimi"	"subdued"	"NAdj"	48
