"Id"	"Word"	"TrueMeaning"	"WordType"	"TrialNum"
"451-1"	"jimijimi"	"subdued"	"RNAdj"	1
"451-1"	"muri"	"impossible"	"NAdj"	2
"451-1"	"kabi"	"gaudy"	"NAdj"	3
"451-1"	"harahara"	"suspenseful"	"RI"	4
"451-1"	"gayagaya"	"noisy"	"RI"	5
"451-1"	"zokuzoku"	"vulgar"	"RNAdj"	6
"451-1"	"shinnari"	"supple"	"NRI"	7
"451-1"	"bera"	"chatty"	"SRI"	8
"451-1"	"buru"	"shivering"	"SRI"	9
"451-1"	"koku"	"harsh"	"NAdj"	10
"451-1"	"poka"	"gaping"	"NRI"	11
"451-1"	"gussurigussuri"	"fast asleep"	"RNRI"	12
"451-1"	"zatsu"	"sloppy"	"NAdj"	13
"451-1"	"bisshiribisshiri"	"crowded"	"RNRI"	14
"451-1"	"yawayawa"	"fragile"	"RNAdj"	15
"451-1"	"moji"	"hesitant"	"SRI"	16
"451-1"	"goso"	"whole"	"NRI"	17
"451-1"	"boroboro"	"worn out"	"RI"	18
"451-1"	"yura"	"wobbly"	"SRI"	19
"451-1"	"damedame"	"useless"	"RNAdj"	20
"451-1"	"potcharipotchari"	"plump"	"RNRI"	21
"451-1"	"hisohiso"	"whispering"	"RI"	22
"451-1"	"garagara"	"to change ocmpletely"	"RNRI"	23
"451-1"	"kero"	"nonchalantly"	"NRI"	24
"451-1"	"kero"	"nonchalantly"	"NRI"	25
"451-1"	"bera"	"chatty"	"SRI"	26
"451-1"	"zatsu"	"sloppy"	"NAdj"	27
"451-1"	"gayagaya"	"noisy"	"RI"	28
"451-1"	"moji"	"hesitant"	"SRI"	29
"451-1"	"potcharipotchari"	"plump"	"RNRI"	30
"451-1"	"koku"	"harsh"	"NAdj"	31
"451-1"	"shinnari"	"supple"	"NRI"	32
"451-1"	"yawayawa"	"fragile"	"RNAdj"	33
"451-1"	"hisohiso"	"whispering"	"RI"	34
"451-1"	"zokuzoku"	"vulgar"	"RNAdj"	35
"451-1"	"damedame"	"useless"	"RNAdj"	36
"451-1"	"boroboro"	"worn out"	"RI"	37
"451-1"	"muri"	"impossible"	"NAdj"	38
"451-1"	"jimijimi"	"subdued"	"RNAdj"	39
"451-1"	"goso"	"whole"	"NRI"	40
"451-1"	"gussurigussuri"	"fast asleep"	"RNRI"	41
"451-1"	"kabi"	"gaudy"	"NAdj"	42
"451-1"	"poka"	"gaping"	"NRI"	43
"451-1"	"bisshiribisshiri"	"crowded"	"RNRI"	44
"451-1"	"harahara"	"suspenseful"	"RI"	45
"451-1"	"yura"	"wobbly"	"SRI"	46
"451-1"	"garagara"	"to change ocmpletely"	"RNRI"	47
"451-1"	"buru"	"shivering"	"SRI"	48
