"Id"	"Word"	"TrueMeaning"	"WordType"	"TrialNum"
"8443-7"	"furifuri"	"disadvantaged"	"RNAdj"	1
"8443-7"	"nopperinopperi"	"smooth"	"RNRI"	2
"8443-7"	"hisohiso"	"whispering"	"RI"	3
"8443-7"	"yaboyabo"	"tasteless"	"RNAdj"	4
"8443-7"	"hara"	"suspenseful"	"SRI"	5
"8443-7"	"ukiuki"	"happy"	"RI"	6
"8443-7"	"koku"	"harsh"	"NAdj"	7
"8443-7"	"mukumuku"	"pure"	"RNAdj"	8
"8443-7"	"bisshiribisshiri"	"crowded"	"RNRI"	9
"8443-7"	"raku"	"comfortable"	"NAdj"	10
"8443-7"	"fubifubi"	"deficient"	"RNAdj"	11
"8443-7"	"batchiribatchiri"	"perfect"	"RNRI"	12
"8443-7"	"tsuyatsuya"	"glossy"	"RI"	13
"8443-7"	"potchari"	"plump"	"NRI"	14
"8443-7"	"kibi"	"energetic"	"SRI"	15
"8443-7"	"zatsu"	"sloppy"	"NAdj"	16
"8443-7"	"yawa"	"fragile"	"NAdj"	17
"8443-7"	"hoka"	"steaming"	"SRI"	18
"8443-7"	"pisha"	"decisive"	"NRI"	19
"8443-7"	"boroboro"	"worn out"	"RI"	20
"8443-7"	"musu"	"sullen"	"NRI"	21
"8443-7"	"jikkuri"	"careful"	"NRI"	22
"8443-7"	"kachinkachin"	"offended"	"RNRI"	23
"8443-7"	"moji"	"hesitant"	"SRI"	24
"8443-7"	"moji"	"hesitant"	"SRI"	25
"8443-7"	"musu"	"sullen"	"NRI"	26
"8443-7"	"pisha"	"decisive"	"NRI"	27
"8443-7"	"potchari"	"plump"	"NRI"	28
"8443-7"	"yaboyabo"	"tasteless"	"RNAdj"	29
"8443-7"	"hoka"	"steaming"	"SRI"	30
"8443-7"	"nopperinopperi"	"smooth"	"RNRI"	31
"8443-7"	"furifuri"	"disadvantaged"	"RNAdj"	32
"8443-7"	"fubifubi"	"deficient"	"RNAdj"	33
"8443-7"	"tsuyatsuya"	"glossy"	"RI"	34
"8443-7"	"kibi"	"energetic"	"SRI"	35
"8443-7"	"boroboro"	"worn out"	"RI"	36
"8443-7"	"zatsu"	"sloppy"	"NAdj"	37
"8443-7"	"bisshiribisshiri"	"crowded"	"RNRI"	38
"8443-7"	"batchiribatchiri"	"perfect"	"RNRI"	39
"8443-7"	"kachinkachin"	"offended"	"RNRI"	40
"8443-7"	"hara"	"suspenseful"	"SRI"	41
"8443-7"	"hisohiso"	"whispering"	"RI"	42
"8443-7"	"mukumuku"	"pure"	"RNAdj"	43
"8443-7"	"jikkuri"	"careful"	"NRI"	44
"8443-7"	"ukiuki"	"happy"	"RI"	45
"8443-7"	"raku"	"comfortable"	"NAdj"	46
"8443-7"	"yawa"	"fragile"	"NAdj"	47
"8443-7"	"koku"	"harsh"	"NAdj"	48
