"Id"	"Word"	"TrueMeaning"	"WordType"	"TrialNum"
"597-10"	"jikkurijikkuri"	"careful"	"RNRI"	1
"597-10"	"kero"	"nonchalantly"	"NRI"	2
"597-10"	"musu"	"sullen"	"NRI"	3
"597-10"	"yurayura"	"wobbly"	"RI"	4
"597-10"	"zatsuzatsu"	"sloppy"	"RNAdj"	5
"597-10"	"nopperi"	"smooth"	"NRI"	6
"597-10"	"zuke"	"rude"	"SRI"	7
"597-10"	"gashi"	"sturdy"	"NRI"	8
"597-10"	"pata"	"sudden"	"NRI"	9
"597-10"	"kiza"	"smug"	"NAdj"	10
"597-10"	"kachinkachin"	"offended"	"RNRI"	11
"597-10"	"maremare"	"rare"	"RNAdj"	12
"597-10"	"uki"	"happy"	"SRI"	13
"597-10"	"hokahoka"	"steaming"	"RI"	14
"597-10"	"kadokado"	"excessive"	"RNAdj"	15
"597-10"	"bisshiri"	"crowded"	"NRI"	16
"597-10"	"gakugaku"	"dejected"	"RNRI"	17
"597-10"	"bukubuku"	"chubby"	"RI"	18
"597-10"	"hikuhiku"	"agitated"	"RI"	19
"597-10"	"yawa"	"fragile"	"NAdj"	20
"597-10"	"muchamucha"	"rash"	"RNAdj"	21
"597-10"	"bassaribassari"	"resolute"	"RNRI"	22
"597-10"	"kibi"	"energetic"	"SRI"	23
"597-10"	"kabikabi"	"gaudy"	"RNAdj"	24
"597-10"	"potcharipotchari"	"plump"	"RNRI"	25
"597-10"	"koku"	"harsh"	"NAdj"	26
"597-10"	"raku"	"comfortable"	"NAdj"	27
"597-10"	"dame"	"useless"	"NAdj"	28
"597-10"	"baka"	"stupid"	"NAdj"	29
"597-10"	"hisohiso"	"whispering"	"RI"	30
"597-10"	"boro"	"worn out"	"SRI"	31
"597-10"	"garagara"	"to change ocmpletely"	"RNRI"	32
"597-10"	"buru"	"shivering"	"SRI"	33
"597-10"	"moji"	"hesitant"	"SRI"	34
"597-10"	"zokuzoku"	"vulgar"	"RNAdj"	35
"597-10"	"sekaseka"	"hasty"	"RI"	36
"597-10"	"moji"	"hesitant"	"SRI"	37
"597-10"	"yurayura"	"wobbly"	"RI"	38
"597-10"	"bassaribassari"	"resolute"	"RNRI"	39
"597-10"	"hokahoka"	"steaming"	"RI"	40
"597-10"	"muchamucha"	"rash"	"RNAdj"	41
"597-10"	"kibi"	"energetic"	"SRI"	42
"597-10"	"bisshiri"	"crowded"	"NRI"	43
"597-10"	"gakugaku"	"dejected"	"RNRI"	44
"597-10"	"hikuhiku"	"agitated"	"RI"	45
"597-10"	"baka"	"stupid"	"NAdj"	46
"597-10"	"koku"	"harsh"	"NAdj"	47
"597-10"	"pata"	"sudden"	"NRI"	48
"597-10"	"zokuzoku"	"vulgar"	"RNAdj"	49
"597-10"	"uki"	"happy"	"SRI"	50
"597-10"	"zatsuzatsu"	"sloppy"	"RNAdj"	51
"597-10"	"dame"	"useless"	"NAdj"	52
"597-10"	"potcharipotchari"	"plump"	"RNRI"	53
"597-10"	"kachinkachin"	"offended"	"RNRI"	54
"597-10"	"maremare"	"rare"	"RNAdj"	55
"597-10"	"zuke"	"rude"	"SRI"	56
"597-10"	"nopperi"	"smooth"	"NRI"	57
"597-10"	"hisohiso"	"whispering"	"RI"	58
"597-10"	"gashi"	"sturdy"	"NRI"	59
"597-10"	"sekaseka"	"hasty"	"RI"	60
"597-10"	"boro"	"worn out"	"SRI"	61
"597-10"	"kabikabi"	"gaudy"	"RNAdj"	62
"597-10"	"musu"	"sullen"	"NRI"	63
"597-10"	"kadokado"	"excessive"	"RNAdj"	64
"597-10"	"buru"	"shivering"	"SRI"	65
"597-10"	"kero"	"nonchalantly"	"NRI"	66
"597-10"	"bukubuku"	"chubby"	"RI"	67
"597-10"	"jikkurijikkuri"	"careful"	"RNRI"	68
"597-10"	"garagara"	"to change ocmpletely"	"RNRI"	69
"597-10"	"raku"	"comfortable"	"NAdj"	70
"597-10"	"kiza"	"smug"	"NAdj"	71
"597-10"	"yawa"	"fragile"	"NAdj"	72
