"Id"	"Word"	"TrueMeaning"	"WordType"	"TrialNum"
"4824-7"	"zuke"	"rude"	"SRI"	1
"4824-7"	"gaya"	"noisy"	"SRI"	2
"4824-7"	"hara"	"suspenseful"	"SRI"	3
"4824-7"	"musu"	"sullen"	"NRI"	4
"4824-7"	"kukkiri"	"clear"	"NRI"	5
"4824-7"	"himahima"	"free"	"RNAdj"	6
"4824-7"	"pokapoka"	"gaping"	"RNRI"	7
"4824-7"	"kachin"	"offended"	"NRI"	8
"4824-7"	"jikkurijikkuri"	"careful"	"RNRI"	9
"4824-7"	"debu"	"fat"	"SRI"	10
"4824-7"	"gaku"	"dejected"	"NRI"	11
"4824-7"	"gara"	"to change ocmpletely"	"NRI"	12
"4824-7"	"fubi"	"deficient"	"NAdj"	13
"4824-7"	"kabikabi"	"gaudy"	"RNAdj"	14
"4824-7"	"zatsu"	"sloppy"	"NAdj"	15
"4824-7"	"zokuzoku"	"vulgar"	"RNAdj"	16
"4824-7"	"ukiuki"	"happy"	"RI"	17
"4824-7"	"kado"	"excessive"	"NAdj"	18
"4824-7"	"potcharipotchari"	"plump"	"RNRI"	19
"4824-7"	"jimijimi"	"subdued"	"RNAdj"	20
"4824-7"	"muku"	"pure"	"NAdj"	21
"4824-7"	"pisha"	"decisive"	"NRI"	22
"4824-7"	"furi"	"disadvantaged"	"NAdj"	23
"4824-7"	"tokutoku"	"beneficial"	"RNAdj"	24
"4824-7"	"berabera"	"chatty"	"RI"	25
"4824-7"	"buku"	"chubby"	"SRI"	26
"4824-7"	"hokahoka"	"steaming"	"RI"	27
"4824-7"	"yawa"	"fragile"	"NAdj"	28
"4824-7"	"murimuri"	"impossible"	"RNAdj"	29
"4824-7"	"kerokero"	"nonchalantly"	"RNRI"	30
"4824-7"	"yura"	"wobbly"	"SRI"	31
"4824-7"	"mojimoji"	"hesitant"	"RI"	32
"4824-7"	"boroboro"	"worn out"	"RI"	33
"4824-7"	"buruburu"	"shivering"	"RI"	34
"4824-7"	"gussurigussuri"	"fast asleep"	"RNRI"	35
"4824-7"	"bisshiribisshiri"	"crowded"	"RNRI"	36
"4824-7"	"gaku"	"dejected"	"NRI"	37
"4824-7"	"pisha"	"decisive"	"NRI"	38
"4824-7"	"kerokero"	"nonchalantly"	"RNRI"	39
"4824-7"	"yura"	"wobbly"	"SRI"	40
"4824-7"	"pokapoka"	"gaping"	"RNRI"	41
"4824-7"	"musu"	"sullen"	"NRI"	42
"4824-7"	"kabikabi"	"gaudy"	"RNAdj"	43
"4824-7"	"mojimoji"	"hesitant"	"RI"	44
"4824-7"	"murimuri"	"impossible"	"RNAdj"	45
"4824-7"	"yawa"	"fragile"	"NAdj"	46
"4824-7"	"kukkiri"	"clear"	"NRI"	47
"4824-7"	"gaya"	"noisy"	"SRI"	48
"4824-7"	"buruburu"	"shivering"	"RI"	49
"4824-7"	"hokahoka"	"steaming"	"RI"	50
"4824-7"	"kado"	"excessive"	"NAdj"	51
"4824-7"	"bisshiribisshiri"	"crowded"	"RNRI"	52
"4824-7"	"zatsu"	"sloppy"	"NAdj"	53
"4824-7"	"himahima"	"free"	"RNAdj"	54
"4824-7"	"boroboro"	"worn out"	"RI"	55
"4824-7"	"jimijimi"	"subdued"	"RNAdj"	56
"4824-7"	"jikkurijikkuri"	"careful"	"RNRI"	57
"4824-7"	"hara"	"suspenseful"	"SRI"	58
"4824-7"	"debu"	"fat"	"SRI"	59
"4824-7"	"gara"	"to change ocmpletely"	"NRI"	60
"4824-7"	"berabera"	"chatty"	"RI"	61
"4824-7"	"zuke"	"rude"	"SRI"	62
"4824-7"	"furi"	"disadvantaged"	"NAdj"	63
"4824-7"	"potcharipotchari"	"plump"	"RNRI"	64
"4824-7"	"muku"	"pure"	"NAdj"	65
"4824-7"	"tokutoku"	"beneficial"	"RNAdj"	66
"4824-7"	"kachin"	"offended"	"NRI"	67
"4824-7"	"buku"	"chubby"	"SRI"	68
"4824-7"	"gussurigussuri"	"fast asleep"	"RNRI"	69
"4824-7"	"fubi"	"deficient"	"NAdj"	70
"4824-7"	"zokuzoku"	"vulgar"	"RNAdj"	71
"4824-7"	"ukiuki"	"happy"	"RI"	72
