"Id"	"Word"	"TrueMeaning"	"WordType"	"TrialNum"
"5699-9"	"uki"	"happy"	"SRI"	1
"5699-9"	"shinnari"	"supple"	"NRI"	2
"5699-9"	"boroboro"	"worn out"	"RI"	3
"5699-9"	"kerokero"	"nonchalantly"	"RNRI"	4
"5699-9"	"maremare"	"rare"	"RNAdj"	5
"5699-9"	"pata"	"sudden"	"NRI"	6
"5699-9"	"baka"	"stupid"	"NAdj"	7
"5699-9"	"gowagowa"	"stiff"	"RI"	8
"5699-9"	"gosogoso"	"whole"	"RNRI"	9
"5699-9"	"kakkirikakkiri"	"exact"	"RNRI"	10
"5699-9"	"kabi"	"gaudy"	"NAdj"	11
"5699-9"	"gocha"	"messy"	"SRI"	12
"5699-9"	"buru"	"shivering"	"SRI"	13
"5699-9"	"gashi"	"sturdy"	"NRI"	14
"5699-9"	"kado"	"excessive"	"NAdj"	15
"5699-9"	"batchiri"	"perfect"	"NRI"	16
"5699-9"	"berabera"	"chatty"	"RI"	17
"5699-9"	"gara"	"to change ocmpletely"	"NRI"	18
"5699-9"	"rakuraku"	"comfortable"	"RNAdj"	19
"5699-9"	"muku"	"pure"	"NAdj"	20
"5699-9"	"debu"	"fat"	"SRI"	21
"5699-9"	"bukubuku"	"chubby"	"RI"	22
"5699-9"	"yawayawa"	"fragile"	"RNAdj"	23
"5699-9"	"musumusu"	"sullen"	"RNRI"	24
"5699-9"	"damedame"	"useless"	"RNAdj"	25
"5699-9"	"yurayura"	"wobbly"	"RI"	26
"5699-9"	"zoku"	"vulgar"	"NAdj"	27
"5699-9"	"gussurigussuri"	"fast asleep"	"RNRI"	28
"5699-9"	"seka"	"hasty"	"SRI"	29
"5699-9"	"koku"	"harsh"	"NAdj"	30
"5699-9"	"jimijimi"	"subdued"	"RNAdj"	31
"5699-9"	"harahara"	"suspenseful"	"RI"	32
"5699-9"	"kachin"	"offended"	"NRI"	33
"5699-9"	"jikkurijikkuri"	"careful"	"RNRI"	34
"5699-9"	"hiku"	"agitated"	"SRI"	35
"5699-9"	"himahima"	"free"	"RNAdj"	36
"5699-9"	"zoku"	"vulgar"	"NAdj"	37
"5699-9"	"baka"	"stupid"	"NAdj"	38
"5699-9"	"gosogoso"	"whole"	"RNRI"	39
"5699-9"	"yawayawa"	"fragile"	"RNAdj"	40
"5699-9"	"berabera"	"chatty"	"RI"	41
"5699-9"	"muku"	"pure"	"NAdj"	42
"5699-9"	"rakuraku"	"comfortable"	"RNAdj"	43
"5699-9"	"yurayura"	"wobbly"	"RI"	44
"5699-9"	"damedame"	"useless"	"RNAdj"	45
"5699-9"	"gocha"	"messy"	"SRI"	46
"5699-9"	"shinnari"	"supple"	"NRI"	47
"5699-9"	"jimijimi"	"subdued"	"RNAdj"	48
"5699-9"	"uki"	"happy"	"SRI"	49
"5699-9"	"gussurigussuri"	"fast asleep"	"RNRI"	50
"5699-9"	"gara"	"to change ocmpletely"	"NRI"	51
"5699-9"	"hiku"	"agitated"	"SRI"	52
"5699-9"	"buru"	"shivering"	"SRI"	53
"5699-9"	"kachin"	"offended"	"NRI"	54
"5699-9"	"boroboro"	"worn out"	"RI"	55
"5699-9"	"debu"	"fat"	"SRI"	56
"5699-9"	"gashi"	"sturdy"	"NRI"	57
"5699-9"	"seka"	"hasty"	"SRI"	58
"5699-9"	"kakkirikakkiri"	"exact"	"RNRI"	59
"5699-9"	"bukubuku"	"chubby"	"RI"	60
"5699-9"	"kado"	"excessive"	"NAdj"	61
"5699-9"	"maremare"	"rare"	"RNAdj"	62
"5699-9"	"jikkurijikkuri"	"careful"	"RNRI"	63
"5699-9"	"pata"	"sudden"	"NRI"	64
"5699-9"	"harahara"	"suspenseful"	"RI"	65
"5699-9"	"gowagowa"	"stiff"	"RI"	66
"5699-9"	"koku"	"harsh"	"NAdj"	67
"5699-9"	"kerokero"	"nonchalantly"	"RNRI"	68
"5699-9"	"himahima"	"free"	"RNAdj"	69
"5699-9"	"batchiri"	"perfect"	"NRI"	70
"5699-9"	"kabi"	"gaudy"	"NAdj"	71
"5699-9"	"musumusu"	"sullen"	"RNRI"	72
