"Id"	"Word"	"TrueMeaning"	"WordType"	"TrialNum"
"5841-2"	"musu"	"sullen"	"NRI"	1
"5841-2"	"muchamucha"	"rash"	"RNAdj"	2
"5841-2"	"koku"	"harsh"	"NAdj"	3
"5841-2"	"yawayawa"	"fragile"	"RNAdj"	4
"5841-2"	"debu"	"fat"	"SRI"	5
"5841-2"	"mare"	"rare"	"NAdj"	6
"5841-2"	"bera"	"chatty"	"SRI"	7
"5841-2"	"furifuri"	"disadvantaged"	"RNAdj"	8
"5841-2"	"batchiribatchiri"	"perfect"	"RNRI"	9
"5841-2"	"uki"	"happy"	"SRI"	10
"5841-2"	"tsuya"	"glossy"	"SRI"	11
"5841-2"	"garagara"	"to change ocmpletely"	"RNRI"	12
"5841-2"	"zoku"	"vulgar"	"NAdj"	13
"5841-2"	"gakugaku"	"dejected"	"RNRI"	14
"5841-2"	"yurayura"	"wobbly"	"RI"	15
"5841-2"	"bassari"	"resolute"	"NRI"	16
"5841-2"	"himahima"	"free"	"RNAdj"	17
"5841-2"	"raku"	"comfortable"	"NAdj"	18
"5841-2"	"harahara"	"suspenseful"	"RI"	19
"5841-2"	"buru"	"shivering"	"SRI"	20
"5841-2"	"shinnari"	"supple"	"NRI"	21
"5841-2"	"bukubuku"	"chubby"	"RI"	22
"5841-2"	"hokahoka"	"steaming"	"RI"	23
"5841-2"	"pishapisha"	"decisive"	"RNRI"	24
"5841-2"	"mojimoji"	"hesitant"	"RI"	25
"5841-2"	"kerokero"	"nonchalantly"	"RNRI"	26
"5841-2"	"potchari"	"plump"	"NRI"	27
"5841-2"	"kakkiri"	"exact"	"NRI"	28
"5841-2"	"kadokado"	"excessive"	"RNAdj"	29
"5841-2"	"fubi"	"deficient"	"NAdj"	30
"5841-2"	"toku"	"beneficial"	"NAdj"	31
"5841-2"	"gussurigussuri"	"fast asleep"	"RNRI"	32
"5841-2"	"nopperi"	"smooth"	"NRI"	33
"5841-2"	"hiso"	"whispering"	"SRI"	34
"5841-2"	"gochagocha"	"messy"	"RI"	35
"5841-2"	"jimijimi"	"subdued"	"RNAdj"	36
"5841-2"	"yawayawa"	"fragile"	"RNAdj"	37
"5841-2"	"kadokado"	"excessive"	"RNAdj"	38
"5841-2"	"debu"	"fat"	"SRI"	39
"5841-2"	"shinnari"	"supple"	"NRI"	40
"5841-2"	"koku"	"harsh"	"NAdj"	41
"5841-2"	"muchamucha"	"rash"	"RNAdj"	42
"5841-2"	"gochagocha"	"messy"	"RI"	43
"5841-2"	"tsuya"	"glossy"	"SRI"	44
"5841-2"	"kakkiri"	"exact"	"NRI"	45
"5841-2"	"zoku"	"vulgar"	"NAdj"	46
"5841-2"	"gakugaku"	"dejected"	"RNRI"	47
"5841-2"	"himahima"	"free"	"RNAdj"	48
"5841-2"	"hokahoka"	"steaming"	"RI"	49
"5841-2"	"mare"	"rare"	"NAdj"	50
"5841-2"	"bassari"	"resolute"	"NRI"	51
"5841-2"	"yurayura"	"wobbly"	"RI"	52
"5841-2"	"kerokero"	"nonchalantly"	"RNRI"	53
"5841-2"	"hiso"	"whispering"	"SRI"	54
"5841-2"	"gussurigussuri"	"fast asleep"	"RNRI"	55
"5841-2"	"mojimoji"	"hesitant"	"RI"	56
"5841-2"	"fubi"	"deficient"	"NAdj"	57
"5841-2"	"batchiribatchiri"	"perfect"	"RNRI"	58
"5841-2"	"raku"	"comfortable"	"NAdj"	59
"5841-2"	"buru"	"shivering"	"SRI"	60
"5841-2"	"jimijimi"	"subdued"	"RNAdj"	61
"5841-2"	"garagara"	"to change ocmpletely"	"RNRI"	62
"5841-2"	"toku"	"beneficial"	"NAdj"	63
"5841-2"	"nopperi"	"smooth"	"NRI"	64
"5841-2"	"potchari"	"plump"	"NRI"	65
"5841-2"	"bera"	"chatty"	"SRI"	66
"5841-2"	"musu"	"sullen"	"NRI"	67
"5841-2"	"pishapisha"	"decisive"	"RNRI"	68
"5841-2"	"harahara"	"suspenseful"	"RI"	69
"5841-2"	"uki"	"happy"	"SRI"	70
"5841-2"	"furifuri"	"disadvantaged"	"RNAdj"	71
"5841-2"	"bukubuku"	"chubby"	"RI"	72
