"Id"	"Word"	"TrueMeaning"	"WordType"	"TrialNum"
"5111-5"	"gara"	"to change ocmpletely"	"NRI"	1
"5111-5"	"mojimoji"	"hesitant"	"RI"	2
"5111-5"	"gashigashi"	"sturdy"	"RNRI"	3
"5111-5"	"musu"	"sullen"	"NRI"	4
"5111-5"	"muku"	"pure"	"NAdj"	5
"5111-5"	"bassari"	"resolute"	"NRI"	6
"5111-5"	"muchamucha"	"rash"	"RNAdj"	7
"5111-5"	"zoku"	"vulgar"	"NAdj"	8
"5111-5"	"hiso"	"whispering"	"SRI"	9
"5111-5"	"boroboro"	"worn out"	"RI"	10
"5111-5"	"patapata"	"sudden"	"RNRI"	11
"5111-5"	"potchari"	"plump"	"NRI"	12
"5111-5"	"yabo"	"tasteless"	"NAdj"	13
"5111-5"	"dame"	"useless"	"NAdj"	14
"5111-5"	"gosogoso"	"whole"	"RNRI"	15
"5111-5"	"jikkurijikkuri"	"careful"	"RNRI"	16
"5111-5"	"jimi"	"subdued"	"NAdj"	17
"5111-5"	"poka"	"gaping"	"NRI"	18
"5111-5"	"fubifubi"	"deficient"	"RNAdj"	19
"5111-5"	"ukiuki"	"happy"	"RI"	20
"5111-5"	"debu"	"fat"	"SRI"	21
"5111-5"	"gaya"	"noisy"	"SRI"	22
"5111-5"	"furi"	"disadvantaged"	"NAdj"	23
"5111-5"	"kibikibi"	"energetic"	"RI"	24
"5111-5"	"kabikabi"	"gaudy"	"RNAdj"	25
"5111-5"	"bakabaka"	"stupid"	"RNAdj"	26
"5111-5"	"rakuraku"	"comfortable"	"RNAdj"	27
"5111-5"	"buku"	"chubby"	"SRI"	28
"5111-5"	"bera"	"chatty"	"SRI"	29
"5111-5"	"tokutoku"	"beneficial"	"RNAdj"	30
"5111-5"	"kukkiri"	"clear"	"NRI"	31
"5111-5"	"gowagowa"	"stiff"	"RI"	32
"5111-5"	"kerokero"	"nonchalantly"	"RNRI"	33
"5111-5"	"tsuya"	"glossy"	"SRI"	34
"5111-5"	"gussurigussuri"	"fast asleep"	"RNRI"	35
"5111-5"	"mushimushi"	"humid"	"RI"	36
"5111-5"	"bassari"	"resolute"	"NRI"	37
"5111-5"	"buku"	"chubby"	"SRI"	38
"5111-5"	"ukiuki"	"happy"	"RI"	39
"5111-5"	"kerokero"	"nonchalantly"	"RNRI"	40
"5111-5"	"muchamucha"	"rash"	"RNAdj"	41
"5111-5"	"hiso"	"whispering"	"SRI"	42
"5111-5"	"jimi"	"subdued"	"NAdj"	43
"5111-5"	"jikkurijikkuri"	"careful"	"RNRI"	44
"5111-5"	"rakuraku"	"comfortable"	"RNAdj"	45
"5111-5"	"gussurigussuri"	"fast asleep"	"RNRI"	46
"5111-5"	"gashigashi"	"sturdy"	"RNRI"	47
"5111-5"	"dame"	"useless"	"NAdj"	48
"5111-5"	"poka"	"gaping"	"NRI"	49
"5111-5"	"mojimoji"	"hesitant"	"RI"	50
"5111-5"	"debu"	"fat"	"SRI"	51
"5111-5"	"muku"	"pure"	"NAdj"	52
"5111-5"	"fubifubi"	"deficient"	"RNAdj"	53
"5111-5"	"gosogoso"	"whole"	"RNRI"	54
"5111-5"	"patapata"	"sudden"	"RNRI"	55
"5111-5"	"gaya"	"noisy"	"SRI"	56
"5111-5"	"gara"	"to change ocmpletely"	"NRI"	57
"5111-5"	"musu"	"sullen"	"NRI"	58
"5111-5"	"zoku"	"vulgar"	"NAdj"	59
"5111-5"	"tsuya"	"glossy"	"SRI"	60
"5111-5"	"bera"	"chatty"	"SRI"	61
"5111-5"	"tokutoku"	"beneficial"	"RNAdj"	62
"5111-5"	"potchari"	"plump"	"NRI"	63
"5111-5"	"gowagowa"	"stiff"	"RI"	64
"5111-5"	"boroboro"	"worn out"	"RI"	65
"5111-5"	"mushimushi"	"humid"	"RI"	66
"5111-5"	"kibikibi"	"energetic"	"RI"	67
"5111-5"	"yabo"	"tasteless"	"NAdj"	68
"5111-5"	"bakabaka"	"stupid"	"RNAdj"	69
"5111-5"	"kabikabi"	"gaudy"	"RNAdj"	70
"5111-5"	"kukkiri"	"clear"	"NRI"	71
"5111-5"	"furi"	"disadvantaged"	"NAdj"	72
