"Id"	"Word"	"TrueMeaning"	"WordType"
"13-1"	"furifuri"	"disadvantaged"	"RNAdj"
"13-1"	"nopperinopperi"	"smooth"	"RNRI"
"13-1"	"kabikabi"	"gaudy"	"RNAdj"
"13-1"	"pisha"	"decisive"	"NRI"
"13-1"	"shinnari"	"supple"	"NRI"
"13-1"	"zoku"	"vulgar"	"NAdj"
"13-1"	"kero"	"nonchalantly"	"NRI"
"13-1"	"koku"	"harsh"	"NAdj"
"13-1"	"bassaribassari"	"resolute"	"RNRI"
"13-1"	"gashi"	"sturdy"	"NRI"
"13-1"	"bakabaka"	"stupid"	"RNAdj"
"13-1"	"zatsu"	"sloppy"	"NAdj"
"13-1"	"hikuhiku"	"agitated"	"RI"
"13-1"	"gocha"	"messy"	"SRI"
"13-1"	"uki"	"happy"	"SRI"
"13-1"	"sekaseka"	"hasty"	"RI"
"13-1"	"pokapoka"	"gaping"	"RNRI"
"13-1"	"kakkiri"	"exact"	"NRI"
"13-1"	"patapata"	"sudden"	"RNRI"
"13-1"	"musu"	"sullen"	"NRI"
"13-1"	"kadokado"	"excessive"	"RNAdj"
"13-1"	"garagara"	"to change ocmpletely"	"RNRI"
"13-1"	"zuke"	"rude"	"SRI"
"13-1"	"gayagaya"	"noisy"	"RI"
"13-1"	"bukubuku"	"chubby"	"RI"
"13-1"	"hiso"	"whispering"	"SRI"
"13-1"	"raku"	"comfortable"	"NAdj"
"13-1"	"gowagowa"	"stiff"	"RI"
"13-1"	"gakugaku"	"dejected"	"RNRI"
"13-1"	"dame"	"useless"	"NAdj"
"13-1"	"yura"	"wobbly"	"SRI"
"13-1"	"kizakiza"	"smug"	"RNAdj"
"13-1"	"yabo"	"tasteless"	"NAdj"
"13-1"	"fubifubi"	"deficient"	"RNAdj"
"13-1"	"tsuyatsuya"	"glossy"	"RI"
"13-1"	"debu"	"fat"	"SRI"
"13-1"	"bakabaka"	"stupid"	"RNAdj"
"13-1"	"raku"	"comfortable"	"NAdj"
"13-1"	"kizakiza"	"smug"	"RNAdj"
"13-1"	"gocha"	"messy"	"SRI"
"13-1"	"bukubuku"	"chubby"	"RI"
"13-1"	"debu"	"fat"	"SRI"
"13-1"	"pokapoka"	"gaping"	"RNRI"
"13-1"	"kadokado"	"excessive"	"RNAdj"
"13-1"	"nopperinopperi"	"smooth"	"RNRI"
"13-1"	"tsuyatsuya"	"glossy"	"RI"
"13-1"	"furifuri"	"disadvantaged"	"RNAdj"
"13-1"	"zuke"	"rude"	"SRI"
"13-1"	"gayagaya"	"noisy"	"RI"
"13-1"	"musu"	"sullen"	"NRI"
"13-1"	"uki"	"happy"	"SRI"
"13-1"	"shinnari"	"supple"	"NRI"
"13-1"	"yura"	"wobbly"	"SRI"
"13-1"	"yabo"	"tasteless"	"NAdj"
"13-1"	"koku"	"harsh"	"NAdj"
"13-1"	"patapata"	"sudden"	"RNRI"
"13-1"	"bassaribassari"	"resolute"	"RNRI"
"13-1"	"garagara"	"to change ocmpletely"	"RNRI"
"13-1"	"zoku"	"vulgar"	"NAdj"
"13-1"	"hiso"	"whispering"	"SRI"
"13-1"	"hikuhiku"	"agitated"	"RI"
"13-1"	"pisha"	"decisive"	"NRI"
"13-1"	"gakugaku"	"dejected"	"RNRI"
"13-1"	"sekaseka"	"hasty"	"RI"
"13-1"	"zatsu"	"sloppy"	"NAdj"
"13-1"	"gashi"	"sturdy"	"NRI"
"13-1"	"fubifubi"	"deficient"	"RNAdj"
"13-1"	"dame"	"useless"	"NAdj"
"13-1"	"kabikabi"	"gaudy"	"RNAdj"
"13-1"	"kero"	"nonchalantly"	"NRI"
"13-1"	"gowagowa"	"stiff"	"RI"
"13-1"	"kakkiri"	"exact"	"NRI"
