"Id"	"Word"	"TrueMeaning"	"WordType"
"21-3"	"fubi"	"deficient"	"NAdj"
"21-3"	"nopperinopperi"	"smooth"	"RNRI"
"21-3"	"yawayawa"	"fragile"	"RNAdj"
"21-3"	"gowa"	"stiff"	"SRI"
"21-3"	"damedame"	"useless"	"RNAdj"
"21-3"	"kukkiri"	"clear"	"NRI"
"21-3"	"bera"	"chatty"	"SRI"
"21-3"	"buruburu"	"shivering"	"RI"
"21-3"	"muchamucha"	"rash"	"RNAdj"
"21-3"	"buku"	"chubby"	"SRI"
"21-3"	"jikkuri"	"careful"	"NRI"
"21-3"	"gaya"	"noisy"	"SRI"
"21-3"	"pishapisha"	"decisive"	"RNRI"
"21-3"	"yura"	"wobbly"	"SRI"
"21-3"	"potcharipotchari"	"plump"	"RNRI"
"21-3"	"mare"	"rare"	"NAdj"
"21-3"	"boroboro"	"worn out"	"RI"
"21-3"	"gosogoso"	"whole"	"RNRI"
"21-3"	"hisohiso"	"whispering"	"RI"
"21-3"	"shinnarishinnari"	"supple"	"RNRI"
"21-3"	"kachin"	"offended"	"NRI"
"21-3"	"bisshiri"	"crowded"	"NRI"
"21-3"	"zatsuzatsu"	"sloppy"	"RNAdj"
"21-3"	"kibikibi"	"energetic"	"RI"
"21-3"	"zoku"	"vulgar"	"NAdj"
"21-3"	"gussuri"	"fast asleep"	"NRI"
"21-3"	"furifuri"	"disadvantaged"	"RNAdj"
"21-3"	"raku"	"comfortable"	"NAdj"
"21-3"	"seka"	"hasty"	"SRI"
"21-3"	"kabikabi"	"gaudy"	"RNAdj"
"21-3"	"harahara"	"suspenseful"	"RI"
"21-3"	"musumusu"	"sullen"	"RNRI"
"21-3"	"muri"	"impossible"	"NAdj"
"21-3"	"baka"	"stupid"	"NAdj"
"21-3"	"tsuyatsuya"	"glossy"	"RI"
"21-3"	"poka"	"gaping"	"NRI"
"21-3"	"yura"	"wobbly"	"SRI"
"21-3"	"kabikabi"	"gaudy"	"RNAdj"
"21-3"	"damedame"	"useless"	"RNAdj"
"21-3"	"kibikibi"	"energetic"	"RI"
"21-3"	"fubi"	"deficient"	"NAdj"
"21-3"	"raku"	"comfortable"	"NAdj"
"21-3"	"kukkiri"	"clear"	"NRI"
"21-3"	"jikkuri"	"careful"	"NRI"
"21-3"	"gussuri"	"fast asleep"	"NRI"
"21-3"	"gaya"	"noisy"	"SRI"
"21-3"	"poka"	"gaping"	"NRI"
"21-3"	"buku"	"chubby"	"SRI"
"21-3"	"potcharipotchari"	"plump"	"RNRI"
"21-3"	"hisohiso"	"whispering"	"RI"
"21-3"	"mare"	"rare"	"NAdj"
"21-3"	"furifuri"	"disadvantaged"	"RNAdj"
"21-3"	"buruburu"	"shivering"	"RI"
"21-3"	"muchamucha"	"rash"	"RNAdj"
"21-3"	"zatsuzatsu"	"sloppy"	"RNAdj"
"21-3"	"musumusu"	"sullen"	"RNRI"
"21-3"	"harahara"	"suspenseful"	"RI"
"21-3"	"zoku"	"vulgar"	"NAdj"
"21-3"	"boroboro"	"worn out"	"RI"
"21-3"	"muri"	"impossible"	"NAdj"
"21-3"	"seka"	"hasty"	"SRI"
"21-3"	"gowa"	"stiff"	"SRI"
"21-3"	"nopperinopperi"	"smooth"	"RNRI"
"21-3"	"bera"	"chatty"	"SRI"
"21-3"	"gosogoso"	"whole"	"RNRI"
"21-3"	"tsuyatsuya"	"glossy"	"RI"
"21-3"	"baka"	"stupid"	"NAdj"
"21-3"	"kachin"	"offended"	"NRI"
"21-3"	"shinnarishinnari"	"supple"	"RNRI"
"21-3"	"bisshiri"	"crowded"	"NRI"
"21-3"	"yawayawa"	"fragile"	"RNAdj"
"21-3"	"pishapisha"	"decisive"	"RNRI"
