Stimulus	Word	Duration	MaxF0	MinF0	MeanF0
txt_053	shinnari	0.5716985	319.90280	204.33448	273.55871
txt_054	jikkuri	0.5639470	311.09914	142.43247	224.85245
txt_055	nopperi	0.5453936	286.85973	181.65322	233.90777
txt_056	bassari	0.5587054	301.55071	156.96983	241.34477
txt_057	batchiri	0.5831046	264.02189	130.13310	212.21110
txt_058	bisshiri	0.5427063	293.24670	147.04546	220.41856
txt_059	potchari	0.4942594	299.96713	124.65617	212.21563
txt_060	kachinkachin	0.8278306	324.17516	130.14302	240.34486
txt_061	gakugaku	0.6669816	313.10373	145.08501	222.34011
txt_062	pokapoka	0.5657248	292.52644	171.51825	232.65208
txt_063	gashigashi	0.6620813	283.16182	141.27177	222.08324
txt_064	patapata	0.5675139	302.20871	199.44954	241.91452
txt_065	pishapisha	0.5854794	309.69040	206.71813	253.47879
txt_066	musumusu	0.6383492	313.74884	140.43284	226.48622
txt_067	garagara	0.5678717	325.36090	167.90779	235.52274
txt_068	gosogoso	0.6711889	320.63289	151.44382	222.87836
txt_069	kerokero	0.5314476	333.85322	148.83734	246.43743
txt_070	kakkirikakkiri	1.0087684	335.30407	139.08939	241.91003
txt_071	kukkirikukkiri	0.9636595	339.73846	123.13763	269.45480
txt_072	gussurigussuri	1.0159487	342.64120	139.76091	237.16433
txt_073	shinnarishinnari	1.1003598	347.55536	124.73021	267.28589
txt_074	jikkurijikkuri	1.0683358	333.93913	143.78633	237.96383
txt_075	nopperinopperi	0.9840784	334.66398	138.62304	252.77038
txt_076	bassaribassari	1.0169428	322.19845	132.11227	225.24351
txt_077	batchiribatchiri	1.0637676	332.93926	137.36290	242.07747
txt_078	bisshiribisshiri	1.0286374	346.71606	135.09696	240.98548
txt_079	potcharipotchari	0.9974002	339.79060	195.42484	267.69232
txt_080	kado	0.3054782	314.54600	151.95234	240.13352
txt_081	kabi	0.2860871	307.73893	189.28832	256.77247
txt_082	kiza	0.2971925	298.49992	221.95159	259.26479
txt_083	baka	0.3730333	274.72635	164.62141	212.22194
txt_084	yabo	0.3322303	253.18268	187.85666	220.35562
txt_085	fubi	0.2958416	282.38548	219.88793	261.22686
txt_086	yawa	0.3410526	225.29526	176.06420	194.82474
txt_087	muku	0.3660355	240.62671	188.96563	217.62029
txt_088	mucha	0.3389232	254.48099	188.28648	231.17241
txt_089	hima	0.3851087	256.75259	220.95095	243.49872
txt_090	jimi	0.3535642	269.11960	178.83308	231.36471
txt_091	dame	0.3675040	247.48411	154.80624	215.14721
txt_092	zatsu	0.3392697	296.66016	216.17501	256.31123
txt_093	zoku	0.3604732	322.31623	181.23932	252.20366
txt_094	mare	0.3224899	246.33658	193.37441	223.88287
txt_095	koku	0.3547996	297.57246	165.05725	241.47230
txt_096	raku	0.4013439	242.03294	132.67246	203.20796
txt_097	furi	0.3240914	258.35317	199.28239	235.37520
txt_098	muri	0.3087935	286.30910	192.76097	244.25434
txt_099	toku	0.3133648	307.35862	203.63956	262.52392
txt_100	kadokado	0.5278002	312.52828	143.86333	228.22865
txt_101	kabikabi	0.5723076	318.58738	199.40511	258.36968
txt_102	kizakiza	0.5738145	289.14162	151.50111	227.17053
txt_103	bakabaka	0.6237454	280.72420	155.09989	221.33799
txt_104	yaboyabo	0.6185564	302.45273	151.20289	212.63614
txt_105	fubifubi	0.5464547	328.70367	179.34520	246.12040
txt_106	yawayawa	0.5444294	313.14584	155.83312	224.65934
txt_107	mukumuku	0.6219181	310.86404	145.12662	228.74090
txt_108	muchamucha	0.6293376	302.00517	182.28418	237.52488
txt_109	himahima	0.5939952	295.66308	228.04414	260.26075
txt_110	jimijimi	0.5958163	322.80217	145.65643	235.74717
txt_111	damedame	0.6342337	317.86063	158.99796	223.53295
txt_112	zatsuzatsu	0.5776692	311.74647	151.18164	230.87219
txt_113	zokuzoku	0.6126362	332.65237	144.97609	239.30697
txt_114	maremare	0.5689854	323.36158	186.48767	240.72550
txt_115	kokukoku	0.5571534	304.07299	148.97750	215.10652
txt_116	rakuraku	0.6193463	302.28498	147.70588	229.04514
txt_117	furifuri	0.5164292	303.02386	148.78551	247.16534
txt_118	murimuri	0.5222318	329.09866	126.98155	247.74021
txt_119	tokutoku	0.5513715	309.75332	151.52453	234.69172
