Stimulus	Word	Duration	MaxF0	MinF0	MeanF0
txt_000	hisohiso	0.6937658	337.23510	153.57158	245.54971
txt_001	hokahoka	0.6365940	303.89550	166.86230	243.54299
txt_002	kibikibi	0.6022415	338.22807	178.22390	253.99346
txt_003	bukubuku	0.6790273	307.16821	147.11189	215.07759
txt_004	mushimushi	0.7106497	304.93815	189.71384	240.62874
txt_005	buruburu	0.5315228	321.95089	137.04785	221.57923
txt_006	hikuhiku	0.5765427	318.87587	180.73974	251.50924
txt_007	ukiuki	0.6176740	308.21089	180.95860	258.53659
txt_008	boroboro	0.5883312	326.39935	158.30301	233.79592
txt_009	gochagocha	0.7545627	305.03650	140.98428	244.92862
txt_010	harahara	0.5680914	317.69187	151.10869	241.00858
txt_011	berabera	0.6059173	318.53490	165.74366	235.80974
txt_012	tsuyatsuya	0.6105223	332.89815	154.46381	245.18707
txt_013	yurayura	0.5670010	324.16883	167.65693	240.23992
txt_014	gayagaya	0.6557928	326.33457	152.55532	230.13728
txt_015	gowagowa	0.6369810	328.82695	147.79565	222.57308
txt_016	sekaseka	0.7321751	324.17842	149.96954	244.50273
txt_017	debudebu	0.6173917	318.98625	154.59243	227.49906
txt_018	zukezuke	0.7132092	314.49196	153.08244	214.78054
txt_019	mojimoji	0.6451277	325.58216	154.97402	234.82275
txt_020	hiso	0.4216020	264.95898	198.52071	227.05534
txt_021	hoka	0.3722605	291.56482	215.06245	256.14488
txt_022	kibi	0.3420946	330.86492	123.22920	272.34857
txt_023	buku	0.4027635	230.49075	141.28203	186.79316
txt_024	mushi	0.3799424	286.87291	194.88896	226.26139
txt_025	buru	0.2942138	267.13437	163.77885	221.10657
txt_026	hiku	0.3430942	234.39755	193.52994	220.92111
txt_027	uki	0.3158116	292.08459	233.30981	270.37115
txt_028	boro	0.3485320	296.83438	159.12068	247.90729
txt_029	gocha	0.4271562	278.10340	179.69871	236.99435
txt_030	hara	0.3123199	270.31511	215.28758	247.78620
txt_031	bera	0.3525230	291.17278	162.18611	239.03975
txt_032	tsuya	0.3446327	274.51927	208.91084	252.74921
txt_033	yura	0.3161239	261.22852	188.47719	232.63178
txt_034	gaya	0.4030405	311.20828	161.58385	245.46809
txt_035	gowa	0.3866908	269.74954	151.27239	233.41058
txt_036	seka	0.3900020	248.50217	208.81045	240.26962
txt_037	debu	0.3430199	273.46546	161.21724	227.98702
txt_038	zuke	0.4374238	247.03445	203.41090	217.42814
txt_039	moji	0.3717053	231.98443	183.35517	212.45017
txt_040	kachin	0.4303016	284.15672	148.70633	232.42444
txt_041	gaku	0.4152373	283.72907	167.07286	221.24859
txt_042	poka	0.3440709	297.67061	186.42729	254.73678
txt_043	gashi	0.4083561	261.26968	201.38198	231.06878
txt_044	pata	0.3535992	284.73944	248.82386	267.71559
txt_045	pisha	0.3305313	296.01979	240.35828	272.37204
txt_046	musu	0.3626171	243.62763	115.75082	185.28375
txt_047	gara	0.3178743	237.96131	203.36455	228.59463
txt_048	goso	0.4120643	281.06559	160.96261	226.22257
txt_049	kero	0.3110560	296.88689	198.96517	260.91105
txt_050	kakkiri	0.5233197	315.26314	202.06138	254.17240
txt_051	kukkiri	0.4884283	302.06526	144.32422	251.59925
txt_052	gussuri	0.5510518	302.32635	155.96034	231.34472
