"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses"
"[{""page_index"":0,""viewing_time"":4272}]","4274","instructions","0","4277","0.0-0.0",""
"[{""page_index"":0,""viewing_time"":2501},{""page_index"":1,""viewing_time"":1277},{""page_index"":2,""viewing_time"":2318},{""page_index"":3,""viewing_time"":7008},{""page_index"":4,""viewing_time"":2448}]","15553","instructions","1","19833","0.0-1.0",""
"","42565","survey-multi-choice","2","62418","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""No"",""Q3"":""Yes"",""Q4"":""Yes""}"
